Season,TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
2022-2023,Sacramento Kings,82,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79,9.5,32.9,42.5,27.3,7,3.4,13.1,19.7
2022-2023,Golden State Warriors,82,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16,20.2,79.4,10.5,34.1,44.6,29.8,7.2,4,15.7,21.4
2022-2023,Atlanta Hawks,82,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25,7.1,4.9,12.4,18.8
2022-2023,Boston Celtics,82,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,6.4,5.2,12.7,18.8
2022-2023,Oklahoma City Thunder,82,117.5,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.6,24.4,8.2,4.2,12.5,21
2022-2023,Los Angeles Lakers,82,117.2,42.9,89,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10,35.7,45.7,25.3,6.4,4.6,13.5,17.9
2022-2023,Utah Jazz,82,117.1,42.5,89.8,47.3,13.3,37.8,35.3,18.7,23.8,78.6,11.8,34.1,45.9,26,6.1,5.2,14.9,20.5
2022-2023,Milwaukee Bucks,82,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,6.4,4.9,13.9,18
2022-2023,Memphis Grizzlies,82,116.9,43.7,92.1,47.5,12,34.2,35.1,17.5,23.8,73.3,12,34.6,46.6,26,8.3,5.8,12.9,20
2022-2023,Indiana Pacers,82,116.3,42,89.6,46.9,13.6,37,36.7,18.7,23.7,79,10.1,31.4,41.5,27,7.7,5.8,14.1,21.2
2022-2023,New York Knicks,82,116,42,89.4,47,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34,46.6,22.9,6.4,4.1,12,20.3
2022-2023,Denver Nuggets,82,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43,28.9,7.5,4.5,13.8,18.6
2022-2023,Minnesota Timberwolves,82,115.8,42.9,87.4,49,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,8,5.4,14.8,21.6
2022-2023,Philadelphia 76ers,82,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21,25.1,83.5,8.7,32.2,40.9,25.2,7.7,4.7,12.8,20.4
2022-2023,New Orleans Pelicans,82,114.4,42,87.6,48,11,30.1,36.4,19.3,24.4,79.3,10.6,33.1,43.7,25.9,8.3,4.1,14,20.5
2022-2023,Dallas Mavericks,82,114.2,40,84.3,47.5,15.2,41,37.1,19,25.1,75.5,7.6,31.2,38.8,22.9,6.3,3.7,11.7,20.7
2022-2023,Phoenix Suns,82,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,7.1,5.3,12.9,21.2
2022-2023,LA Clippers,82,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,7.1,4.4,13.5,19.5
2022-2023,Portland Trail Blazers,82,113.4,40.5,85.4,47.4,12.9,35.3,36.5,19.6,24.6,79.6,9.4,31.1,40.5,24.2,6.7,4.6,13.7,20
2022-2023,Brooklyn Nets,82,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80,8.2,32.3,40.5,25.5,7.1,6.2,12.9,21.1
2022-2023,Washington Wizards,82,113.2,42.1,86.9,48.5,11.3,31.7,35.6,17.6,22.4,78.5,9.4,34.2,43.6,25.4,6.8,5.2,13.3,18.8
2022-2023,Chicago Bulls,82,113.1,42.5,86.8,49,10.4,28.9,36.1,17.6,21.8,80.9,8.5,33.9,42.4,24.5,7.9,4.5,12.7,18.9
2022-2023,San Antonio Spurs,82,113,43.1,92.6,46.5,11.1,32.2,34.5,15.8,21.2,74.3,11.8,31.9,43.7,27.2,7,3.9,14.7,19.9
2022-2023,Toronto Raptors,82,112.9,41.9,91.3,45.9,10.7,32,33.5,18.4,23.4,78.4,12.7,30.3,43,23.9,9.4,5.2,11.2,20
2022-2023,Cleveland Cavaliers,82,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78,9.7,31.4,41.1,24.9,7.1,4.7,12.4,19
2022-2023,Orlando Magic,82,111.4,40.5,86.3,47,10.8,31.1,34.6,19.6,25,78.4,10.2,33.1,43.2,23.2,7.4,4.7,14.4,20.1
2022-2023,Charlotte Hornets,82,111,41.3,90.4,45.7,10.7,32.5,33,17.6,23.6,74.9,11,33.5,44.5,25.1,7.7,5.2,13.7,20.3
2022-2023,Houston Rockets,82,110.7,40.6,88.9,45.7,10.4,31.9,32.7,19.1,25.3,75.4,13.4,32.9,46.3,22.4,7.3,4.6,15.5,20.5
2022-2023,Detroit Pistons,82,110.3,39.6,87.1,45.4,11.4,32.4,35.1,19.8,25.7,77.1,11.2,31.3,42.4,23,7,3.8,14.5,22.1
2022-2023,Miami Heat,82,109.5,39.2,85.3,46,12,34.8,34.4,19.1,23,83.1,9.7,30.9,40.6,23.8,8,3,12.8,18.5
2021-2022,Minnesota Timberwolves,82,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,11.2,32.9,44.2,25.7,8.8,5.6,13.7,21.8
2021-2022,Memphis Grizzlies,82,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,9.8,6.5,12.5,19.8
2021-2022,Milwaukee Bucks,82,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.3,36.5,46.7,23.9,7.6,4,12.7,18.2
2021-2022,Charlotte Hornets,82,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,8.6,4.9,12.7,19.9
2021-2022,Phoenix Suns,82,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,8.6,4.4,12.3,19.9
2021-2022,Atlanta Hawks,82,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,7.2,4.2,11.3,18.7
2021-2022,Utah Jazz,82,113.6,40.6,86.2,47.1,14.5,40.3,36,17.9,23.4,76.7,10.8,35.6,46.3,22.4,7.2,4.9,13.2,18.9
2021-2022,San Antonio Spurs,82,113.2,43.2,92.7,46.7,11.3,32,35.2,15.4,20.4,75.4,11,34.3,45.3,27.9,7.6,4.9,12.3,18.1
2021-2022,Brooklyn Nets,82,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,7.1,5.5,13.2,20.4
2021-2022,Denver Nuggets,82,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,7.2,3.7,13.8,20
2021-2022,Los Angeles Lakers,82,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,7.6,5.2,13.9,20.2
2021-2022,Boston Celtics,82,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,7.2,5.8,13,18.5
2021-2022,Chicago Bulls,82,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,7.1,4.1,12.1,18.8
2021-2022,Indiana Pacers,82,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,7.1,5.6,13.6,20.4
2021-2022,Golden State Warriors,82,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,8.8,4.5,14.3,21
2021-2022,Sacramento Kings,82,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,7.2,4.5,13.5,18.9
2021-2022,Miami Heat,82,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,7.4,3.2,13.8,20.5
2021-2022,Philadelphia 76ers,82,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,7.7,5.3,11.7,19.4
2021-2022,Houston Rockets,82,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,7.3,4.7,15.7,20.6
2021-2022,Toronto Raptors,82,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,9,4.6,11.6,19.6
2021-2022,New Orleans Pelicans,82,109.3,40.2,88,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12,33.2,45.2,25,8.3,4,13.3,19.7
2021-2022,Washington Wizards,82,108.6,40.6,86,47.2,10.5,30.6,34.2,17,21.7,78.3,9,34.1,43.1,25,6.4,5,12.6,18.8
2021-2022,LA Clippers,82,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44,24,7.4,5,13,18.6
2021-2022,Dallas Mavericks,82,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,6.7,4,11.7,19.7
2021-2022,Cleveland Cavaliers,82,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,7.1,4.2,13.3,17.5
2021-2022,New York Knicks,82,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,7,4.9,12.4,20.4
2021-2022,Portland Trail Blazers,82,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,8,4.5,13.7,21.1
2021-2022,Detroit Pistons,82,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,7.7,4.8,13.4,21.9
2021-2022,Orlando Magic,82,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,6.8,4.5,13.8,19.7
2021-2022,Oklahoma City Thunder,82,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,10.4,35.2,45.6,22.2,7.6,4.6,13.3,18.3
2020-2021,Milwaukee Bucks,72,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76,10.3,37.8,48.1,25.5,8.1,4.6,13.4,17.3
2020-2021,Brooklyn Nets,72,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,6.7,5.3,13.1,19
2020-2021,Washington Wizards,72,116.6,43.2,90.9,47.5,10.2,29,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,7.3,4.1,13.9,21.6
2020-2021,Utah Jazz,72,116.4,41.3,88.1,46.8,16.7,43,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,6.6,5.2,13.5,18.5
2020-2021,Portland Trail Blazers,72,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,6.9,5,10.8,18.9
2020-2021,Indiana Pacers,72,115.3,43.3,91.2,47.4,12.3,34,36.4,16.4,20.7,79.2,9,33.7,42.7,27.4,8.5,6.4,13,20.2
2020-2021,Phoenix Suns,72,115.3,43.3,88.3,49,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,7.2,4.3,12,19.1
2020-2021,Denver Nuggets,72,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,8.1,4.5,12.8,19.1
2020-2021,New Orleans Pelicans,72,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19,26.1,72.9,11.7,35.7,47.4,26,7.6,4.4,13.9,18
2020-2021,LA Clippers,72,114,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,7.1,4.1,12.4,19.2
2020-2021,Sacramento Kings,72,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22,74.5,9.4,32,41.4,25.5,7.5,5,12.8,19.4
2020-2021,Golden State Warriors,72,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8,35.1,43,27.7,8.2,4.8,14.6,21.2
2020-2021,Atlanta Hawks,72,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,7,4.8,12.7,19.3
2020-2021,Philadelphia 76ers,72,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10,35,45.1,23.7,9.1,6.2,13.7,20.2
2020-2021,Memphis Grizzlies,72,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,9.1,5.1,12.7,18.7
2020-2021,Boston Celtics,72,112.6,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,7.7,5.3,13.4,20.4
2020-2021,Dallas Mavericks,72,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,6.3,4.3,11.4,19.4
2020-2021,Minnesota Timberwolves,72,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33,43.5,25.6,8.8,5.5,13.7,20.9
2020-2021,Toronto Raptors,72,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,8.6,5.4,12.5,21.2
2020-2021,San Antonio Spurs,72,111.1,41.9,90.5,46.2,9.9,28.4,35,17.4,22,79.2,9.3,34.6,43.9,24.4,7,5.1,11,18
2020-2021,Chicago Bulls,72,110.7,42.2,88.6,47.6,12.6,34,37,13.8,17.5,79.1,9.6,35.3,45,26.8,6.7,4.2,14.5,18.9
2020-2021,Los Angeles Lakers,72,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,7.8,5.4,14.7,19.1
2020-2021,Charlotte Hornets,72,109.5,39.9,87.8,45.5,13.7,37,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,7.8,4.8,14.2,18
2020-2021,Houston Rockets,72,108.8,39.3,88.5,44.3,13.8,40.6,33.9,16.5,22.3,74,9.3,33.3,42.6,23.6,7.6,5,14.2,19.5
2020-2021,Miami Heat,72,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79,8,33.5,41.5,26.3,7.9,4,13.3,18.9
2020-2021,New York Knicks,72,107,39.4,86.5,45.6,11.8,30,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,7,5.1,12.2,20.5
2020-2021,Detroit Pistons,72,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,7.4,5.2,14.2,20.5
2020-2021,Oklahoma City Thunder,72,105,38.8,88,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,7,4.4,15.4,18.1
2020-2021,Orlando Magic,72,104,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,6.9,4.4,12.3,17.2
2020-2021,Cleveland Cavaliers,72,103.8,38.6,85.8,45,10,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,7.8,4.5,14.4,18.2
2019-2020,Milwaukee Bucks,73,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,7.2,5.9,14.7,19.6
2019-2020,Houston Rockets,72,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,8.7,5.2,14.2,21.8
2019-2020,Dallas Mavericks,75,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,6.1,4.8,12.1,19.5
2019-2020,LA Clippers,72,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37,47.7,23.7,7.1,4.7,14,22.1
2019-2020,New Orleans Pelicans,72,115.8,42.6,91.6,46.5,13.6,36.9,37,17.1,23.4,72.9,11.1,35.4,46.5,26.8,7.5,5,15.9,21.2
2019-2020,Portland Trail Blazers,74,115,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,6.3,6.1,12.4,21.7
2019-2020,Washington Wizards,72,114.4,41.5,90.9,45.7,12,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42,25,8,4.3,13.6,22.7
2019-2020,San Antonio Spurs,71,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19,23.4,81,9,35.6,44.6,24.7,7.3,5.5,12.3,19.4
2019-2020,Boston Celtics,72,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23,8.3,5.6,13.2,21.6
2019-2020,Phoenix Suns,73,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,7.7,4,14.2,22
2019-2020,Los Angeles Lakers,71,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,8.6,6.6,14.7,20.7
2019-2020,Minnesota Timberwolves,64,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,8.7,5.7,14.7,21.4
2019-2020,Toronto Raptors,72,112.8,40.2,87.9,45.8,13.8,37,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,8.8,5,14.1,21.7
2019-2020,Memphis Grizzlies,73,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,7.9,5.5,14.6,21.2
2019-2020,Miami Heat,73,112,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5,35.9,44.4,25.9,7.5,4.5,14,20.6
2019-2020,Brooklyn Nets,72,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,6.4,4.5,14.6,21
2019-2020,Atlanta Hawks,67,111.8,40.6,90.6,44.9,12,36.1,33.3,18.5,23.4,79,9.9,33.4,43.3,24,7.8,5.1,15.7,23.1
2019-2020,Utah Jazz,72,111.3,40.1,85.1,47.1,13.4,35.2,38,17.8,22.8,77.9,9.1,35.8,44.9,22.4,6.1,4,14.6,20.4
2019-2020,Denver Nuggets,73,111.3,42,88.9,47.3,11,30.6,35.9,16.2,20.9,77.7,10.8,33.4,44.1,26.7,8,4.6,13.1,20.3
2019-2020,Philadelphia 76ers,73,110.7,41.1,87.9,46.8,11.6,31.6,36.8,16.9,22.4,75.5,10.5,35,45.4,25.8,8,5.3,13.5,20.9
2019-2020,Oklahoma City Thunder,72,110.4,40,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,8.2,34.7,42.9,21.7,7.6,4.9,13,19.3
2019-2020,Sacramento Kings,72,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77,9.7,32.9,42.6,23.8,7.7,4.1,13.8,22.2
2019-2020,Indiana Pacers,73,109.4,42.1,88.5,47.6,10.2,28,36.3,15,19.1,78.7,8.7,34.1,42.8,25.9,7.4,5.2,12.7,19.8
2019-2020,Orlando Magic,73,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3,34.2,44.5,23.9,8.2,5.4,12.2,18.3
2019-2020,Detroit Pistons,66,107.2,39.3,85.7,45.9,12,32.7,36.7,16.6,22.4,74.3,9.8,32,41.7,24.1,7.4,4.5,14.5,19.7
2019-2020,Cleveland Cavaliers,65,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,6.9,3.2,15.7,18.3
2019-2020,Chicago Bulls,65,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,10,4.1,14.6,21.8
2019-2020,Golden State Warriors,65,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10,32.9,42.8,25.6,8.2,4.6,14.3,20.1
2019-2020,New York Knicks,66,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12,34.5,46.5,22.1,7.6,4.7,13.8,22.2
2019-2020,Charlotte Hornets,65,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11,31.8,42.8,23.8,6.6,4.1,13.9,18.8
2018-2019,Milwaukee Bucks,82,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,7.5,5.9,13.3,19.6
2018-2019,Golden State Warriors,82,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,7.6,6.4,13.8,21.4
2018-2019,New Orleans Pelicans,82,115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27,7.4,5.4,14.5,21.1
2018-2019,Philadelphia 76ers,82,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,7.4,5.3,14.5,21.3
2018-2019,LA Clippers,82,115.1,41.3,87.5,47.1,10,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24,6.8,4.7,13.8,23.3
2018-2019,Portland Trail Blazers,82,114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8,36.2,48,23,6.7,5,13.3,20.4
2018-2019,Oklahoma City Thunder,82,114.5,42.6,94,45.4,11.4,32.6,34.8,17.8,25,71.3,12.6,35.5,48.1,23.4,9.3,5.2,13.6,22.4
2018-2019,Toronto Raptors,82,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6,35.6,45.2,25.4,8.3,5.3,13.3,21
2018-2019,Sacramento Kings,82,114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11,34.4,45.4,25.4,8.3,4.4,12.9,21.4
2018-2019,Washington Wizards,82,114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,8.3,4.6,13.7,20.7
2018-2019,Houston Rockets,82,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,8.5,4.9,12.7,22
2018-2019,Atlanta Hawks,82,113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,8.2,5.1,16.6,23.6
2018-2019,Minnesota Timberwolves,82,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,8.3,5,12.6,20.3
2018-2019,Boston Celtics,82,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,8.6,5.3,12.4,20.4
2018-2019,Brooklyn Nets,82,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19,25.5,74.5,11,35.6,46.6,23.8,6.6,4.1,14.4,21.5
2018-2019,Los Angeles Lakers,82,111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,7.5,5.4,15.2,20.7
2018-2019,Utah Jazz,82,111.7,40.4,86.4,46.8,12.1,34,35.6,18.8,25.5,73.6,10,36.4,46.4,26,8.1,5.9,14.8,21.1
2018-2019,San Antonio Spurs,82,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21,81.9,9.2,35.5,44.7,24.5,6.1,4.7,11.8,18.1
2018-2019,Charlotte Hornets,82,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,7.2,4.9,11.7,18.9
2018-2019,Denver Nuggets,82,110.7,41.9,90,46.6,11,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,7.7,4.4,12.9,20
2018-2019,Dallas Mavericks,82,108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1,35.2,45.3,23.4,6.5,4.3,13.6,20.1
2018-2019,Indiana Pacers,82,108,41.3,87,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43,26,8.7,4.9,13.3,19.4
2018-2019,Phoenix Suns,82,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,9,5.1,15.2,23.6
2018-2019,Orlando Magic,82,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15,19.2,78.2,10,35.4,45.4,25.5,6.6,5.4,12.6,18.6
2018-2019,Detroit Pistons,82,107,38.8,88.3,44,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45,22.5,6.9,4,13,22.1
2018-2019,Miami Heat,82,105.7,39.6,88,45,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,7.6,5.5,14.1,20.9
2018-2019,Chicago Bulls,82,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,7.4,4.3,13.5,20.3
2018-2019,New York Knicks,82,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,6.8,5.1,13.4,20.9
2018-2019,Cleveland Cavaliers,82,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,6.5,2.4,12.6,20
2018-2019,Memphis Grizzlies,82,103.5,38,84.4,45,9.9,28.9,34.2,17.7,23,77.2,8.8,33,41.8,23.9,8.3,5.5,13.2,22
2017-2018,Golden State Warriors,82,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,8,7.5,15,19.6
2017-2018,Houston Rockets,82,112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9,34.5,43.5,21.5,8.5,4.8,13.2,19.5
2017-2018,New Orleans Pelicans,82,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.7,44.3,26.8,8,5.9,14.4,19.1
2017-2018,Toronto Raptors,82,111.7,41.3,87.4,47.2,11.8,33,35.8,17.3,21.8,79.4,9.8,34.2,44,24.3,7.6,6.1,12.7,21.7
2017-2018,Cleveland Cavaliers,82,110.9,40.4,84.8,47.6,12,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,7.1,3.8,13.3,18.6
2017-2018,Denver Nuggets,82,110,40.7,86.6,47,11.5,30.9,37.1,17.1,22.3,76.7,11,33.5,44.5,25.1,7.6,4.9,14.3,18.7
2017-2018,Philadelphia 76ers,82,109.8,40.8,86.6,47.2,11,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,8.3,5.1,15.9,22.1
2017-2018,Minnesota Timberwolves,82,109.5,41,86.1,47.6,8,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42,22.7,8.4,4.2,11.7,18.2
2017-2018,LA Clippers,82,109,40.3,85.4,47.1,9.5,26.8,35.4,19,25.5,74.3,10.1,33.7,43.9,22.3,7.7,4.5,14.1,20
2017-2018,Charlotte Hornets,82,108.2,39,86.7,45,10,27.2,36.9,20.2,27,74.7,10.1,35.4,45.5,21.6,6.8,4.5,12.3,17.2
2017-2018,Los Angeles Lakers,82,108.1,40.7,88.4,46.1,10,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,7.7,4.7,15.3,21.2
